Title,Genre,G_news,Vader,Polar,Subject,IMDB
Damadamm!,3,0.5,0,0,0,4.2
Loot,3,0.5,0.05,0.06,0.36,7.5
Miley Naa Miley Hum,3,0.65,0,0,0,3.7
Rockstar,4,0.5,0.16,0.12,0.36,6.3
Shakal Pe Mat Ja,3,0.6,0,0,0,5.4
Desi Boyz,3,0.55,0.16,0.15,0.28,5.9
The Dirty Picture,6,0.55,-0.1,-0.12,0.58,6.6
Ladies vs Ricky Bahl,3,0.55,-0.06,0.05,0.07,6
Jo Hum Chahein,4,0.5,0,0,0,5.4
Don 2: The Chase Continues,2,0.6,-0.23,0,0,7.1
Players,6,0.5,0.23,0.22,0.37,7.5
Chaalis Chauraasi 4084,3,0.5,0,0,0,6.2
Ghost,4,0.3,-0.09,0.09,0.35,7.8
Sadda Adda,3,0.6,0,0,0,7.2
Agneepath,2,0.7,0.11,0.09,0.22,7
Gali Gali Chor Hai,3,0.45,0.02,0.12,0.24,5.2
Staying Alive,4,0.75,0.19,0.04,0.46,4.6
Love You To Death,4,0.45,0.17,0.27,0.52,6.4
Ek Main Aur Ekk Tu,3,0.5,0,0.18,0.29,5.8
Valentines Night,6,0.55,0.26,0.19,0.43,2.7
Ekk Deewana Tha,4,0.65,0.84,0.36,0.56,5.9
Married 2 America,5,0.55,-0.09,0.05,0.37,4.3
Jodi Breakers,3,0.55,0,0,0,3.5
Tere Naal Love Ho Gaya,3,0.7,0,0,0,5.8
"London, Paris, New York",6,0.55,0.15,0.16,0.4,5.7
Paan Singh Tomar,2,0.55,0.08,-0.02,0.45,8.2
Will You Marry Me?,3,0.6,0.11,0.04,0.21,5.1
Kahaani,6,0.5,0.22,0.18,0.4,8.1
Chaar Din Ki Chandni,3,0.5,0,0,0,4.4
Say Yes to Love,6,0.6,0.53,0.21,0.51,6.2
Akkad Bakkkad Bam Be Bo,2,0.5,0,0,0,7.2
Zindagi Tere Naam,6,0.55,0,0,0,4.7
Agent Vinod,2,0.6,0.33,0.18,0.29,5.2
Blood Money,4,0.4,0.05,0.08,0.34,4.5
Bumboo,3,0.7,0.21,0.08,0.44,3.6
Housefull 2,2,0.55,-0.03,0,0.13,5.4
Bittoo Boss,6,0.55,0,0,0,4.2
Chhodo Kal Ki Baatein,4,0.6,-0.9,0,0,7.1
Vicky Donor,3,0.6,0.07,0.07,0.21,7.8
Hate Story,4,0.35,-0.29,-0.27,0.63,5.3
Tezz,2,0.65,0.08,0.11,0.35,3.9
Life Ki Toh Lag Gayi,3,0.35,0,0,0,5.6
Jannat 2,6,0.5,0.08,0.08,0.33,6.2
Fatso!,3,0.5,0,0,0.32,6.3
The Forest,6,0.55,0.05,0.11,0.37,4.8
Dangerous Ishq,6,0.55,-0.2,-0.14,0.6,4
Ishaqzaade,2,0.5,0.26,0.24,0.34,6.6
Department,2,0.55,0.04,0.04,0.34,7.1
Chhota Bheem And The Curse Of Damyaan,8,0.35,-0.61,0.04,0.24,6.4
Mr. Bhatti on Chutti,3,0.35,0,0,0,4
Arjun: The Warrior Prince,8,0.55,0.47,0.07,0.47,6.9
Rakhtbeej,5,0.55,0.01,0.5,0.5,3.1
Yeh Khula Aasmaan,6,0.5,0,0,0,6.9
"Love, Wrinkle-free",3,0.6,0.86,0.32,0.51,6.4
Rowdy Rathore,2,0.6,0.14,0.09,0.22,5.9
Shanghai,6,0.55,0.23,0.15,0.34,6.4
Ferrari Ki Sawaari,3,0.5,0,0,0,6.4
Qasam Se Qasam Se,6,0.45,0.13,0.03,0.3,4.6
Teri Meri Kahaani,3,0.55,0.26,0.39,0.52,4.8
Gangs of Wasseypur,2,0.45,0.13,0.08,0.26,8.2
Maximum,2,0.45,0.06,0.12,0.31,5.5
Bol Bachchan,2,0.45,0.05,0.15,0.27,5.5
3 Bachelors,3,0.5,0.07,0.06,0.33,5.3
Cocktail,3,0.55,0.16,0.1,0.34,5.9
Gattu,4,0.5,0.08,0.06,0.13,7.2
Challo Driver,3,0.55,0,0,0,6.1
Mere Dost Picture Abhi Baki Hai,3,0.55,0.08,-0.32,0.47,3.7
Kyaa Super Kool Hai Hum,3,0.55,0,0,0,5
Aalaap,6,0.5,0.34,0.13,0.43,5.8
Overtime,2,0.45,0.02,0.02,0.3,5.3
Jism 2,4,0.7,0.16,0.22,0.44,3.1
Krishna Aur Kans ,8,0.55,0,0,0,6.4
Gangs of Wasseypur ?? Part 2,2,0.5,0,0,0,8.2
Ek Tha Tiger,2,0.45,0.24,0.19,0.25,5.5
Shirin Farhad Ki Toh Nikal Padi,6,0.5,0,0,0,4.3
Jalpari: The Desert Mermaid,4,0.5,0,0,0,7.2
From Sydney with Love,3,0.55,0.52,0.24,0.48,6.2
I M 24,3,0.45,0.11,0.07,0.39,6.7
Raaz 3,7,0.5,0.11,0.17,0.37,4.1
Chal Pichchur Banate Hain,3,0.45,0,0,0,6.3
Barfi!,3,0.55,0.16,0.16,0.32,8.1
Jeena Hai Toh Thok Daal,4,0.5,0,0,0,6
Heroine,1,0.65,0.4,0.09,0.36,5.1
Kamaal Dhamaal Malamaal,3,0.4,0,0,0,4.2
Oh My God,3,0.5,0.31,0.05,0.32,6.3
English Vinglish,3,0.55,0.13,0.06,0.15,7.9
Kismet Love Paisa Dilli,1,0.75,0,0,0,4.4
Aiyyaa,3,0.45,-0.13,0.03,0.52,4.4
Login,4,0.5,0.12,0.08,0.34,6.2
Chittagong,2,0.4,0.07,0.05,0.2,7.2
Bhoot Returns,7,0.5,0,0,0,2.5
Student of the Year,3,0.55,0.1,0.1,0.34,2.1
Delhi Safari,8,0.65,-0.04,0.12,0.36,5.7
Chakravyuh,2,0.65,0.11,-0.03,0.26,6.9
Ajab Gazabb Love,3,0.8,0.86,0.25,0.32,4.3
Rush,2,0.5,0.04,0.08,0.32,8.1
Luv Shuv Tey Chicken Khurana,3,0.5,0.23,-0.41,0.91,6.6
1920: The Evil Returns,4,0.45,0,0,0,4.9
Ata Pata Laapata,3,0.45,0,0,0,5.6
Sons Of Ram,8,0.4,0.04,0.13,0.37,6.6
Future To Bright Hai Ji,4,0.65,0,0,0,6.2
Jab Tak Hai Jaan,4,0.6,0.38,0.25,0.39,6.8
Son Of Sardaar,2,0.55,0.01,0.11,0.45,4
Talaash,6,0.55,0.2,0.01,0.44,7.3
Khiladi 786,2,0.5,-0.1,-0.14,0.25,4.4
Cigarette Ki Tarah,6,0.6,0,0,0,4.2
Dabangg 2,2,0.55,0.15,0.28,0.36,4.9
Table No. 21,1,0.55,-0.15,0.03,0.32,7.1
Dehraadun Diary,5,0.55,0,0,0,5.8
Matru Ki Bijlee Ka Mandola,3,0.45,0,0,0,5.7
Gangoobai,4,0.45,0,0,0,7.6
Inkaar,4,0.5,0.05,0.09,0.34,6.1
Mumbai Mirror,2,0.5,0.03,0.06,0.17,5.2
Bandook,6,0.5,0.03,0.06,0.25,6.1
Race 2,2,0.6,0.17,0.1,0.39,5.3
Akaash Vani,4,0.65,0.36,0.5,0.5,6.3
Main Krishna Hoon,8,0.45,0.09,0.04,0.07,5.9
David,4,0.6,0.1,0.01,0.31,6.6
Vishwaroop,2,0.45,0.05,-0.02,0.24,8.3
Mai...,4,0.5,0.22,0.1,0.34,8.5
Listen... Amaya,4,0.45,0.37,0.14,0.39,6.8
Special 26,6,0.7,0.41,0.3,0.45,8
The Unsound,5,0.45,-0.07,0.05,0.35,5
Jayantabhai Ki Luv Story,2,0.45,0,0,0,5.4
Murder 3,4,0.1,-0.44,0.01,0.34,6
Kai Po Che!,4,0.5,-0.4,0.17,0.34,7.6
Zilla Ghaziabad,2,0.5,0,0,0,3.6
I Me aur Main,3,0.55,0.13,0.1,0.43,4.7
Bloody Isshq,4,0.65,0,0,0,7.8
Saheb Biwi Aur Gangster Returns,2,0.35,0,0,0,6.8
Saare Jahaan Se Mehnga,3,0.6,0,0,0,7.1
Mere Dad Ki Maruti,3,0.55,-0.31,0.18,0.57,6.5
Jolly LLB,3,0.65,0.41,0.08,0.29,7.5
Rangrezz,2,0.7,0.15,0.06,0.25,5.3
Himmatwala,2,0.55,0.64,0.14,0.22,1.7
Chashme Baddoor,3,0.6,0.28,0.12,0.12,5.4
Nautanki Saala,3,0.6,-0.19,0.03,0.4,5.8
Commando-A One Man Army,2,0.55,0,0,0,6.1
Ek Thi Daayan,7,0.45,0.08,0.04,0.24,5.7
Aashiqui 2,4,0.55,0.13,0.06,0.4,7
Shree,6,0.5,-0.22,0.02,0.28,7.9
Shootout at Wadala,2,0.5,0.36,0.23,0.33,5.9
Bombay Talkies,4,0.55,0.1,-0.09,0.27,5.7
Chhota Bheem And The Throne of Bali,8,0.4,0,0,0,6.8
Go Goa Gone,2,0.55,0.05,0.04,0.17,6.6
Gippi,3,0.65,0.62,1,1,5.6
Aurangzeb,2,0.5,0.02,0.06,0.3,6.5
I Dont Luv U,6,0.6,0.17,0.12,0.42,6.6
Beehad - The Ravines,4,0.4,0,0,0,5
Ishkq in Paris,3,0.5,0,0,0,4.1
Hum Hai Raahi CAR Ke,3,0.65,0,0,0,3.3
Zindagi 50-50,3,0.55,0.3,0.19,0.44,2.8
Yeh Jawaani Hai Deewani,3,0.55,0.19,0.11,0.35,7.1
Yamla Pagla Deewana 2,2,0.55,0.64,1,0.3,3.5
Fukrey,3,0.5,0.26,0.11,0.24,6.9
Ankur Arora Murder Case,4,0.35,-0.03,0.47,0.63,6.5
Raanjhanaa,4,0.5,0.28,0.22,0.31,7.6
Enemmy,2,0.5,-0.42,-0.4,0.5,5.4
Ghanchakkar,3,0.45,0.01,0,0,5.7
Lootera,4,0.65,0.13,0.12,0.3,7.3
Policegiri,2,0.5,0,-0.03,0.11,4.2
Bhaag Milkha Bhaag,6,0.7,0.25,0.11,0.16,8.2
Sixteen,4,0.55,-0.02,0.03,0.36,7.1
B.A. Pass,6,0.5,0.06,0.02,0.39,6.5
Boyss Toh Boyss Hain,3,0.5,0,0,0,7.7
Ramaiya Vastavaiya,2,0.55,0.66,0.44,0.64,5.7
D Day,11,0.55,0.22,0.11,0.37,6.7
Ship of Theseus,4,0.55,0.04,0.07,0.31,8
Issaq,4,0.6,-0.02,0.03,0.26,4.6
Bajatey Raho,3,0.5,0,0,0,5.4
Luv U Soniyo,3,0.6,0,0,0,5.5
Nasha,4,0.5,0.04,0.05,0.39,3.2
Rabba Main Kya Karoon,3,0.55,0,0,0,4.5
Chor Chor Super Chor,3,0.65,0.22,0.12,0.66,6.7
Calapor,4,0.6,0,0,0,5.2
Love in Bombay,0,0.55,0.54,0.32,0.53,6.2
Chennai Express,2,0.55,-0.26,0.04,0.34,6.1
Once Upon Ay Time In Mumbai Dobaara!,2,0.5,0,0,0,4.8
Madras Cafe,2,0.5,0.23,0.14,0.42,7.7
Satyagraha,4,0.55,-0.17,0.18,0.3,6
Zanjeer,2,0.55,0.01,0.06,0.3,3.4
Shuddh Desi Romance,4,0.6,0.52,0.29,0.39,5.7
Siddharth,4,0.5,0.19,0.1,0.25,7.3
Grand Masti,3,0.6,0.42,0.35,0.76,4.4
John Day,4,0.5,0.17,0.15,0.37,5.7
Horror Story,7,0.25,-0.4,0.05,0.27,8.1
Phata Poster Nikla Hero,2,0.55,0.51,0.04,0.26,4.9
The Lunchbox,4,0.5,0.19,0.12,0.39,7.8
Maazii,5,0.45,0.25,0.29,0.64,6.7
Prague,4,0.55,0.11,0.11,0.3,6.8
Super Model,4,0.6,0.6,0.28,0.59,2
War Chhod Na Yaar,3,0.15,0,0,0,5.5
Baat Ban Gayi,3,0.55,-0.11,0,0,5.4
Paapi - Ek Satya Katha,6,0.5,0,0,0,4
Boss,6,0.55,0.04,0.06,0.41,8.4
Shahid,6,0.6,0.02,0.09,0.34,8.3
Wake Up India,4,0.5,-0.03,0.02,0.3,6.3
Amdavad Junction,6,0.45,0,0,0,4.8
Dilli Gang,5,0.4,-0.13,-0.14,0.23,7.4
Mickey Virus,3,0.45,-0.07,-0.2,0.3,6.1
Ishk Actually,6,0.45,0.25,-0.11,0.34,2.6
Sooper Se Ooper,3,0.6,0,0,0,4.4
Krrish 3,2,0.65,0.06,0.09,0.43,5.3
Satya 2,2,0.4,0.12,0.06,0.27,6
Rajjo,4,0.45,0.19,0.06,0.22,3.4
Goliyon Ki Rasleela Ram-Leela,4,0.55,0.67,0,0.07,6.4
Gori Tere Pyaar Mein,3,0.45,0,0,0,5
Singh Saab The Great,2,0.6,0.69,0.65,0.68,5.8
Bullett Raja,2,0.55,0,0,0.04,5
R... Rajkumar,2,0.45,0.16,0.14,0.27,5.2
What the Fish,1,0.6,0.12,0.15,0.36,5.2
Dhoom 3,2,0.45,0.16,0.05,0.38,5.4
Mr Joe B. Carvalho,2,0.5,0.44,0.4,0.4,3.7
Sholay 3D,2,0.55,0,0,0,7.7
Dedh Ishqiya,3,0.6,0.35,0.33,0.57,7.1
Yaariyan,4,0.5,0.19,0.18,0.34,2.7
Karle Pyaar Karle,2,0.45,0.89,0.82,1,3
Miss Lovely,6,0.45,0.61,0.39,0.61,6.6
Paranthe Wali Gali,4,0.55,0,-0.18,0.34,5.1
Strings Of Passion,4,0.5,0.54,0.41,0.41,6.9
Jai Ho,2,0.65,0.23,0.22,0.39,5.3
One by Two,3,0.5,0.08,0.08,0.36,4.2
Babloo Happy Hai,3,0.7,0,0,0,6.7
Hasee Toh Phasee,3,0.6,0.21,0.13,0.29,6.8
Heartless,4,0.3,-0.45,-0.04,0.41,6
Ya Rab,4,0.4,0.19,0.15,0.29,8
Gunday,2,0.55,0.2,0.15,0.27,2.2
Darr @ the Mall,7,0.5,0,0,0,5
Highway,4,0.45,0.02,0.04,0.27,7
Karar: The Deal,5,0.35,0,0,0,4.3
Anuradha,4,0.55,0.2,0.12,0.39,6.8
Shaadi Ke Side Effects,3,0.6,-0.1,-0.03,0.05,5.6
Gulaab Gang,2,0.5,0,0,0,6.1
Queen,3,0.5,0.15,0.13,0.34,7.9
Total Siyapaa,3,0.5,0,0,0,6.5
Bewakoofiyaan,3,0.55,0,0,0,5.5
Ankhon Dekhi,3,0.55,0.23,0.32,0.57,8
Gang of Ghosts,3,0.5,0.03,0.05,0.19,3.7
Lakshmi,4,0.6,0.2,0.11,0.43,8.1
Ragini MMS 2,7,0.55,0.12,0.07,0.53,3.9
Dishkiyaoon,2,0.6,-0.38,0.4,0.4,5.3
O Teri,3,0.55,0.23,0.18,0.34,6
Youngistaan,4,0.55,-0.02,0.07,0.23,5.2
Ebn-E-Batuta,6,0.6,0,0,0,4.5
Honour Killing,4,0.3,-0.25,0.02,0.3,2.3
Jal,4,0.5,0.12,0.1,0.39,6.7
Main Tera Hero,2,0.55,0.55,0.14,0.41,5.3
Bhoothnath Returns,3,0.55,0,0,0.4,6.8
2 States,3,0.55,0.12,0.09,0.34,6.7
Dekh Tamasha Dekh,3,0.55,0.02,0.09,0.32,6.1
Lucky Kabootar,3,0.6,0.42,0.33,0.83,5.5
Kaanchi...,4,0.55,0,0,0,4.6
Revolver Rani,2,0.5,-0.06,0,0.29,4.8
Samrat & Co.,6,0.45,0.72,0.46,0.74,6.4
Purani Jeans,4,0.6,0.16,0.13,0.3,6.2
Kya Dilli Kya Lahore,4,0.55,0,0,0,7.5
Angry Young Man,2,0.4,-0.37,-0.09,0.59,6.4
Kahin Hai Mera Pyar,4,0.5,0,0,0,6.5
Hawaa Hawaai,4,0.55,0.46,0.3,0.9,7.4
Khwaabb,4,0.55,0,0,0,5.6
Koyelaanchal,2,0.5,0,0,0,5.7
Manjunath,6,0.5,0.13,0.09,0.3,7.2
Yeh Hai Bakrapur,3,0.5,0,0,0,3.8
